amplitude,duration,energy,rms,rise time,counts,peak frequency,trai
0.0001704936,0.0001177,88.382220819392,1.5144041682035195e-05,5.2300000000000004e-05,3,134765.6249999967,5700143
0.00041101134,0.00038620000000000006,588.0861314362775,1.5144041682035195e-05,3.55e-05,21,132812.49999999677,5700144
0.00021616153,7.6e-05,97.36236292337249,1.8396319408216664e-05,5.95e-05,6,132812.49999999677,5700149
0.00016136002,0.00029,99.73359798565474,1.8396319408216664e-05,0.00018810000000000002,3,133789.06249999674,5700150
0.00045972381,0.0001419,470.9180883681534,1.9164495435566272e-05,4.4200000000000004e-05,13,132812.49999999677,5700153
0.00039883325,0.0002001,442.51220875566145,1.9164495435566272e-05,2.9e-05,25,132812.49999999677,5700154
0.0006850189,0.00039610000000000003,1280.5892864696527,1.9164495435566272e-05,7.85e-05,43,145507.81249999645,5700155
0.00020702794,6.560000000000001e-05,91.09465345278913,1.9214376995783782e-05,4.72e-05,6,147460.93749999642,5700160
0.00035925437,0.00016160000000000002,254.398521856112,1.6460914871777384e-05,4.6200000000000005e-05,13,131835.9374999968,5700162
0.00048712455,0.0003686,507.66639226629644,1.672029898490842e-05,5.4900000000000006e-05,21,140624.99999999657,5700167
0.0002679185,0.00021810000000000002,192.609226752598,1.672029898490842e-05,6.9e-05,12,133789.06249999674,5700169
0.00025878492,0.00027719999999999996,136.01464381371085,1.815688791917263e-05,2.75e-05,6,129882.81249999684,5700172
0.00066979625,0.00036340000000000005,1540.6228053213601,1.6111743950254833e-05,6.110000000000001e-05,34,130859.37499999681,5700175
0.00025878492,0.0006361,343.56139085369733,1.6111743950254833e-05,0.00010410000000000001,18,135742.1874999967,5700177
0.00045363474,0.00032490000000000004,598.0589999696631,1.6111743950254833e-05,3.8900000000000004e-05,31,131835.9374999968,5700179
0.00024356227,8.32e-05,110.16946077813272,1.9104637563305266e-05,5.3400000000000004e-05,9,131835.9374999968,5700184
0.00044450117,0.0001418,454.75212705659067,1.9354045364392803e-05,4.4e-05,15,132812.49999999677,5700187
0.0004079668,0.00022310000000000003,503.0036368690231,1.9354045364392803e-05,5.25e-05,21,132812.49999999677,5700188
0.00068806345,0.00032340000000000005,1209.8066870630007,1.9354045364392803e-05,6.98e-05,41,144531.24999999648,5700189
0.00036838796,0.00012920000000000002,269.90025556794393,1.6919825225778453e-05,4.940000000000001e-05,14,133789.06249999674,5700195
0.00048408002,0.00029390000000000004,470.5923702847799,1.697968309803946e-05,4.4300000000000006e-05,18,139648.4374999966,5700200
0.00024051775,0.00021580000000000001,168.4715146372881,1.697968309803946e-05,6.71e-05,12,133789.06249999674,5700202
0.0005784604,0.00043320000000000007,1524.349877968758,1.4934539129121666e-05,7.15e-05,36,134765.6249999967,5700208
0.00020093888,0.0007358000000000001,369.0937399304293,1.4934539129121666e-05,0.00037940000000000006,21,127929.68749999689,5700211
0.0002039834,7.980000000000002e-05,88.03332985017808,1.4934539129121666e-05,2.4900000000000002e-05,4,134765.6249999967,5700212
